|  Main Features  |  Radio  |  Connection of External Devices  |  USB (MP3/WMA)  |  BluetoothBluetooth is a registered trademark of Bluetooth SIG®   |  Satellite Radio Ready  |
------------,------------,------------,------------,------------,------------
(A)—Touch Screen Radio,X,X,X,X,United States/Canada
(B)—AM/FM Radio,X,X,,X,Not Available

|  Wave Bands (United States/Canada)  | |  Wave Bands (All Other Countries)  | |
------------,------------,------------,------------
FM,87.7—107.9 MHz,UKW (FM),87.5—108.0 MHz
AM,530—1710 kHz,MW,522—1629 kHz
WX,162.4—162.55 MHz,LW,153—279 kHz

|  Separator Status  |  Disengaged  |
------------,------------
"**Group 5 Elements =** 13, 14, 15","**Group 5 Tines =** 9, 10","**Group 12 Tines =** 23, 24"
,"**Group 6 Tines =** 11, 12","**Group 13 Tines =** 25, 26"
,"**Group 7 Tines =** 13, 14",

|  Configuration  |  Transport Speed 40 km/h (25 mph)  | |  Harvest Speed 10 km/h (6 mph)   | | | |
------------,------------,------------,------------,------------,------------,------------
Approximate Header Mass,"No Head/ TransportIndicates road transport configuration (no header, no grain in tank).",4500—5500 kg,1500—2500 kg,3500—4500 kg,4500—5500 kg,5500—6200 kg
9900—12 100 lb,3300—5500 lb,7700—9900 lb,9900—12 100 lb,12 100—13 700 lb
Belt Pickup/Draper Heads,Not Applicable,Not Applicable,BP15,RD30F RD35F RD40F 735X,HD35R/F/X HD40R/X HD45R/X RD45F 740X,HD40F HD45F HD50R HD50F
Corn Heads,Not Applicable,C12F C16F C18F,Not Applicable,C12R,C12F C16R C18R,C16F C18F
Front Tire Size,Tire Pressure - bar/kPa (psi),,,,,
IF 800/60R38 CFO+193A8 R-1W Michelin® CEREXBIB2,1.2/120 (17),2.6/260 (41)30 km/h (19 mph) max speed.,2.1/210 (30),2.4/240 (35),2.6/260 (38),2.8/280 (41)
VF 900/60R38 CFO+ 193A8 R-1W Michelin® CEREXBIB2,1.2/120 (17),2.6/260 (41),2.1/210 (30),2.4/240 (35),2.6/260 (38),2.8/280 (41)
IF 1100/50R42 CFO 197B R-1W Firestone® MAXI TRACTION,1.2/120 (17),2.4/240 (35),1.8/180 (26),2.0/200 (29),2.4/240 (35),2.4/240 (35)
LSW 1100/45R46 CFO 201D R-1W Goodyear® DT930 LSW,1.2/120 (17),2.4/240 (35),1.8/180 (26),2.0/200 (29),2.4/240 (35),2.4/240 (35)
VF 580/85R42 CFO 183B R-2 Duals Goodyear® CUSTOM FLO GRIP,1.2/120 (17),1.8/180 (26),1.6/160 (23),1.8/180 (26),2.0/200 (29),2.2/220 (32)
VF 580/85R42 CFO 183B R-1W Duals Firestone® DEEP TREAD 23,1.2/120 (17),1.8/180 (26),1.6/160 (23),1.8/180 (26),2.0/200 (29),2.2/220 (32)
IF 580/85R42 CFO 178A8 R-1W Duals Goodyear® OPTITRAC H+,1.2/120 (17),1.8/180 (26),1.6/160 (23),1.8/180 (26),2.0/200 (29),2.2/220 (32)
650/85R38 173A8/B R-1W Duals Michelin® MACHXBIB,1.2/120 (17),1.7/170 (25),1.7/170 (25),2.1/210 (30),2.4/240 (35),2.4/240 (35)
650/85R38 173A8 R-1W Duals Firestone® DEEP TREAD 23,1.2/120 (17),1.7/170 (25),1.7/170 (25),2.1/210 (30),2.4/240 (35),2.4/240 (35)
650/85R38 173D R-1W Duals Goodyear® OPTITRAC,1.2/120 (17),1.7/170 (25),1.7/170 (25),2.1/210 (30),2.4/240 (35),2.4/240 (35)
650/85R38 176A8 R-1W Duals Mitas® SFT,1.2/120 (17),1.7/170 (25),1.7/170 (25),2.1/210 (30),2.4/240 (35),2.4/240 (35)
VF 710/70R42 CFO 184B R-1W Duals Firestone® MAXI TRACTION,1.2/120 (17),1.6/160 (23),1.4/140 (20),1.6/160 (23),1.8/180 (26),2.0/200 (29)
VF 710/70R42 CFO 193B R-1W Duals Mitas® HC 3000,1.2/120 (17),1.6/160 (23),1.4/140 (20),1.6/160 (23),1.8/180 (26),2.0/200 (29)

|  Configuration  |  Transport Speed 40 km/h (25 mph)  | |  Harvest Speed 10 km/h (6 mph)   | | | |
------------,------------,------------,------------,------------,------------,------------
Approximate Header Mass,"No Head/ TransportIndicates road transport configuration (no header, no grain in tank).",4500—5500 kg,1500—2500 kg,3500—4500 kg,4500—5500 kg,5500—6200 kg
9900—12 100 lb,3300—5500 lb,7700—9900 lb,9900—12 100 lb,12 100—13 700 lb
Belt Pickup/Draper Heads,Not Applicable,Not Applicable,BP15,RD30F RD35F RD40F 735X,HD35R/F/X HD40R/X HD45R/X RD45F 740X,HD40F HD45F HD50R HD50F
Corn Heads,Not Applicable,C12F C16F C18F,Not Applicable,C12R,C12F C16R C18R,C16F C18F
Rear Tire Size,Tire Pressure - bar/kPa (psi),,,,,
500/85R30 IMP 179A8/160A8 Mitas® SFT N,3.2/320 (46),2.0/200 (29),2.6/260 (41),2.0/200 (29),2.0/200 (29),2.0/200 (29)
VF 620/70R26 CFO+ 173A8 Michelin® CEREXBIB2,2.4/240 (35),1.4/140 (20),1.4/140 (20),1.4/140 (20),1.4/140 (20),1.4/140 (20)
VF 620/75R26 CFO 172B Firestone® Radial All Traction DT,2.4/240 (35),1.4/140 (20),1.4/140 (20),1.4/140 (20),1.4/140 (20),1.4/140 (20)
VF 620/75R26 CFO 178D Goodyear® Optitrac,2.4/240 (35),1.4/140 (20),1.4/140 (20),1.4/140 (20),1.4/140 (20),1.4/140 (20)
VF 710/65R26 177D R-2 Goodyear® Special Sure Grip TD8,2.4/240 (35),1.4/140 (20),1.4/140 (20),1.4/140 (20),1.4/140 (20),1.4/140 (20)
VF 750/60R30 CFO 180D Goodyear® Optitrac LSW,1.8/180 (26),1.4/140 (20),1.4/140 (20),1.4/140 (20),1.2/120 (17),1.2/120 (17)
VF 750/65R26 CFO+ 180A8 Michelin® CEREXBIB2,1.8/180 (26),1.4/140 (20),1.4/140 (20),1.4/140 (20),1.2/120 (17),1.2/120 (17)
VF 750/65R26 177B Firestone® MAXI TRACTION,1.8/180 (26),1.4/140 (20),1.4/140 (20),1.4/140 (20),1.2/120 (17),1.2/120 (17)
VF 750/65R26 177D Goodyear® Optitrac DT830,1.8/180 (26),1.4/140 (20),1.4/140 (20),1.4/140 (20),1.2/120 (17),1.2/120 (17)
VF 750/65R26 CFO 180B Mitas® HC 3000,1.8/180 (26),1.4/140 (20),1.4/140 (20),1.4/140 (20),1.2/120 (17),1.2/120 (17)

|  Tire SpacingSpacings calculated based on nominal dimensions specified by tire supplier.  | | | | | |
------------,------------,------------,------------,------------,------------
Tires/Tracks,Width mm (in),Default Spacer mm (in),Centerline Width mm (in),Outside Width  mm (in),Inside Width mm (in)
IF 800/60R38 CFO+ 193A8 R-1W Michelin® CEREXBIB2 Add 508 mm (20 in) to width dimensions if using 254 mm (10 in) axle spacers.Add 696 mm (27.4 in) to width dimensions if using 348 mm (13.7 in) axle spacers.Add 789 mm (31.4 in) to width dimensions if using 399 mm (15.7 in) axle spacers.,790 (31.1),0 (0.0),3010 (118.5),3800 (149.6),2220 (87.4)
VF 900/60R38 CFO+ 193A8 R-1W Michelin® CEREXBIB2 Add 508 mm (20 in) to width dimensions if using 254 mm (10 in) axle spacers.Add 696 mm (27.4 in) to width dimensions if using 348 mm (13.7 in) axle spacers.Add 789 mm (31.4 in) to width dimensions if using 399 mm (15.7 in) axle spacers.,880 (34.6),0 (0.0),3148 (123.9),4028 (158.6),2268 (89.3)
IF 1100/50R42 CFO 197B R-1W Firestone® MAXI TRACTION Add 696 mm (27.4 in) to width dimensions if using 348 mm (13.7 in) axle spacers.Add 789 mm (31.4 in) to width dimensions if using 399 mm (15.7 in) axle spacers.,1110 (43.7),254 (10.0),3480 (137.0),4590 (180.7),2370 (93.3)
LSW 1100/45R46 CFO 201D R-1W Goodyear® DT930 LSW Add 696 mm (27.4 in) to width dimensions if using 348 mm (13.7 in) axle spacers.Add 789 mm (31.4 in) to width dimensions if using 399 mm (15.7 in) axle spacers.,1029 (40.5),254 (10.0),3480 (137.0),4509 (177.5),2451 (96.5)
VF 580/85R42 CFO 183B R-2 Duals Goodyear® CUSTOM FLO GRIP 762 mm (30 in) row,1317 (51.9),348 (13.7),3778 (148.7),5095 (200.6),2461 (96.9)
VF 580/85R42 CFO 183B R-1W Duals Firestone® DEEP TREAD 23 762 mm (30 in) row,1330 (52.4),348 (13.7),3778 (148.7),5108 (201.1),2448 (96.4)
IF 580/85R42 CFO 178A8 R-1W Duals Goodyear® OPTITRAC H+ 762 mm (30 in) row,1337 (52.6),348 (13.7),3778 (148.7),5115 (201.4),2441 (96.1)
650/85R38 173A8/B R-1W Duals Michelin® MACHXBIB,1476 (58.1),348 (13.7),3778 (148.7),5254 (206.9),2302 (90.6)
650/85R38 173A8 R-1W Duals Firestone® DEEP TREAD 23,1496 (58.9),348 (13.7),3778 (148.7),5274 (207.6),2282 (89.8)
650/85R38 173D R-1W Duals Goodyear® OPTITRAC,1498 (59.0),348 (13.7),3778 (148.7),5276 (207.7),2280 (89.8)
650/85R38 176A8 R-1W Duals Mitas® SFT,1490 (58.7),348 (13.7),3778 (148.7),5268 (207.4),2288 (90.1)
VF 710/70R42 CFO 184B R-1W Duals Firestone® MAXI TRACTION,1682 (66.2),399 (15.7),3932 (154.8),5614 (221.0),2250 (88.6)
VF 710/70R42 CFO 193B R-1W Duals Mitas® HC 3000,1674 (65.9),399 (15.7),3932 (154.8),5606 (220.7),2258 (88.9)
24 in Tracks - 3.5 m outside width,610 (24.0),0 (0.0),2854 (112.4),3464 (136.4),2244 (88.3)
24 in Tracks - 3.0 m CTF Controlled Traffic Farming,610 (24.0),76 (3.0),3006 (118.3),3616 (142.4),2396 (94.3)
30 in Tracks - 3.0 m CTF Controlled Traffic Farming and 3.8 m outside width,762 (30.0),76 (3.0),3006 (118.3),3768 (148.3),2244 (88.3)
30 in Tracks,762 (30.0),405 (15.9),3664 (144.3),4426 (174.3),2902 (114.3)
36 in Tracks,914 (36.0),405 (15.9),3664 (144.3),4578 (180.2),2750 (108.3)

|  Tire SpacingSpacings calculated based on nominal dimensions specified by tire supplier.  | | | | | | |
------------,------------,------------,------------,------------,------------,------------
Rear Tire Size,Rear Axle Position,Steering Stop Washers,Tire Width mm (in),Center to Center mm (in),Outside to Outside mm (in),Inside to Inside mm (in)
500,A2,1,500 (20),3050 (120),3550 (140),2550 (100)
B,None,500 (20),3150 (124),3650 (144),2650 (104)
B2,None,500 (20),3250 (128),3750 (148),2750 (108)
C,None,500 (20),3360 (132),3860 (152),2860 (113)
C2,None,500 (20),3460 (136),3960 (156),2960 (117)
D,None,500 (20),3560 (140),4060 (160),3060 (120)
D2,None,500 (20),3660 (144),4160 (164),3160 (124)
E,None,500 (20),3760 (148),4260 (168),3260 (128)
E2,None,500 (20),3860 (152)),4360 (172),3360 (132)
620,A2,2,620 (24),3280 (129),3900 (154),2660 (105)
B,None,620 (24),3380 (133),4000 (157),2760 (109)
B2,None,620 (24),3480 (137),4100 (161),2860 (113)
C,None,620 (24),3590 (141),4210 (166),2970 (117)
C2,None,620 (24),3690 (145),4310 (170),3070 (121)
D,None,620 (24),3790 (149),4410 (174),3170 (125)
D2,None,620 (24),3890 (153),4510 (178),3270 (129)
E,None,620 (24),3990 (157),4610 (181),3370 (133)
E2,None,620 (24),4090 (161),4710 (185),3470 (137)
710,A2,NR,710 (28),3340 (131),4050 (159),2630 (104)
B,1,710 (28),3440 (135),4150 (163),2730 (107)
B2,None,710 (28),3540 (139),4250 (167),2830 (111)
C,None,710 (28),3650 (144),4360 (172),2940 (116)
C2,None,710 (28),3750 (148),4460 (176),3040 (120)
D,None,710 (28),3850 (152),4560 (180),3140 (124)
D2,None,710 (28),3950 (156),4660 (183),3240 (128)
E,None,710 (28),4050 (159),4760 (187),3340 (131)
E2,None,710 (28),4150 (163),4860 (191),3440 (135)
750,A2,NR,750 (30),3340 (131),4090 (161),2590 (102)
B,NR,750 (30),3440 (135),4190 (165),2690 (106)
B2,2,750 (30),3540 (139),4290 (169),2790 (110)
C,None,750 (30),3650 (144),4400 (173),2900 (114)
C2,None,750 (30),3750 (148),4500 (177),3000 (118)
D,None,750 (30),3850 (152),4600 (181),3100 (122)
D2,None,750 (30),3950 (156),4700 (185),3200 (126)
E,None,750 (30),4050 (159),4800 (189),3300 (130)
E2,None,750 (30),4150 (163),4900 (193),3400 (134)
"NR= This configuration is not recommended due to tire interference with the machine frame. 1 or 2 = One or two 10 mm (3/8 in) thick steering stop washers should be installed under the steering stop bolt. None = No steering stop washers are required, but bolt should remain installed.",,,,,,

|  Approximate Header Mass  | |  1500— 3500 kg  |  3500— 4500 kg  |  4500— 5000 kg  |  5000— 5500 kg  |  5500— 6200 kg  |
------------,------------,------------,------------,------------,------------,------------
3300— 7700 lb,7700— 9900 lb,9900— 11 000 lb,11 000— 12 100 lb,12 100— 13 700 lb
Belt Pickup/Draper Heads,,BP15,RD30F RD35F RD40F 735X,HD35R/F/X RD45F 740X,HD40R/X HD45R/X,HD40F HD45F HD50R HD50F
Corn Heads,,Not Applicable,C12R,C12F C16R C18R,Not Applicable,C16F C18F
Model,Configuration,Normal Slopes (Flat to 15%),,,,
X9 1000,Two-Wheel Drive,No,No,No,Yes,Yes
Four-Wheel Drive
X9 1100,Two-Wheel Drive,No,No,No,Yes,Yes
Four-Wheel Drive
**Model**,**Configuration**,**Hilly Slopes (15% to 20%)**,,,,
X9 1000,Two-Wheel Drive,No,No,Yes,Yes,Yes
Four-Wheel Drive
X9 1100,Two-Wheel Drive,No,No,Yes,Yes,Yes
Four-Wheel Drive
No = Ballast not required for any size tires. Yes = Ballast required for all tire sizes.,,,,,,

|  Auto Header Controls (Enabled Modes)  |  Activation Button 1  |  Activation Button 2  |  Activation Button 3  |
------------,------------,------------,------------
Height Resume,Height Resume,,
Height Resume,Height Sensing,Height Resume,Height Sensing,
Height Resume,HydraFlexHydraFlex is a trademark of Deere & Company™ Height Sensing,Height Resume,HydraFlex™ Height Sensing,
Height Resume,Height Sensing,HydraFlex™ Height Sensing See your John Deere dealer to enable Height Sensing and HydraFlex Height Sensing. Requires RDF HydraFlex™ Drapers with auxiliary height sensors.,Height Resume,Height Sensing,HydraFlex™ Height Sensing
Height Resume,Height Sensing,Active Header Float,Height Resume,Height Sensing,Active Header Float
Height Resume,HydraFlex™ Height Sensing,Active Header Float,Height Resume,HydraFlex™ Height Sensing,Active Header Float
Height Resume,Active Header Float,Height Resume,,Active Header Float
Height Sensing,Height Sensing,,
HydraFlex™ Height Sensing,HydraFlex™ Height Sensing,,
Height Sensing,HydraFlex™ Height Sensing See your John Deere dealer to enable Height Sensing and HydraFlex Height Sensing. Requires RDF HydraFlex™ Drapers with auxiliary height sensors.,Height Sensing,,HydraFlex™ Height Sensing
Height Sensing,HydraFlex™ Height Sensing,Active Header Float See your John Deere dealer to enable Height Sensing and HydraFlex Height Sensing. Requires RDF HydraFlex™ Drapers with auxiliary height sensors.,HydraFlex™ Height Sensing,,Active Header Float
Height Sensing,Active Header Float,Height Sensing,,Active Header Float
HydraFlex™ Height Sensing,Active Header Float,HydraFlex™ Height Sensing,,Active Header Float
Active Header Float,Active Header Float,,
Reel Position Resume,Reel Position Resume,,
Deck Plate Position Resume,Deck Plate Position Resume,,
Hydraulic Feeder House Fore/Aft Tilt,Hydraulic Feeder House Fore/Aft Tilt,,
Cutterbar Fore/Aft Position European 700X Cutting Platforms with wide feeding channel.,Cutterbar Fore/Aft Position,,
Auto Reel Speed,Auto Reel Speed,,
Auto Belt Speed,Auto Belt Speed,,

|  Various crop settings shown are for average conditions. Varying crop and field conditions may require slightly different settings.   * Refer to Footnotes Description Page later in this section for more detailed information.  | | |
------------,------------,------------
,Shading = #c0c0c0 Alfalfa,Shading = #c0c0c0 Barley
Feeder House Drive Sprocket (North America) (A)*,18-Tooth,18-Tooth
Feeder House Drive Sprocket (Europe) (A)*,18-Tooth,22-Tooth
Feed Accelerator Speed (North America) (A)* (F)*,High,High
Feed Accelerator Speed (Europe) (A)* (F)*,High,High
Feed Accelerator Wear Strips (North America),Serrated,Serrated
Feed Accelerator Wear Strips (Europe),Serrated,Serrated
Threshing Speed (North America) (rpm) (A)*,720—1000,800—1150
Threshing Speed (Europe) (rpm) (A)*,720—1000,800—1150
Threshing Clearance (North America) (mm),0—10,8—22 (C)*
Threshing Clearance (Europe) (mm),0—10,12—25 (C)*
Concave Type (North America) (C)*,Small Wire,Small Wire
Concave Type (Europe) (C)*,Small/Small/Large Wire,Small/Small/Large Wire
Separator Grate Spacers,In Storage Position,In Storage Position
Fan Speed (rpm),570—700,700—1030
Front Chaffer Clearance (mm),25,25
Chaffer Clearance (North America) (mm) (H)*,10—20,12—19
Chaffer Clearance (Europe) (mm) (H)*,10—20,13—22
Sieve Clearance (North America) (mm),1—4,6—11
Sieve Clearance (Europe) (mm),1—4,6—14
Tailings System Concave Position,Grain,Grain
Knife Bank Engagement,Allowed,Allowed
Knife Bank Engagement Percentage,25,50
Chopper Speed,High,High

|  Various crop settings shown are for average conditions. Varying crop and field conditions may require slightly different settings.   * Refer to Footnotes Description Page later in this section for more detailed information.  | | |
------------,------------,------------
,Shading = #c0c0c0 Canola (Dry),Shading = #c0c0c0 Canola (Wet)
Feeder House Drive Sprocket (North America) (A)*,18-Tooth,18-Tooth
Feeder House Drive Sprocket (Europe) (A)*,22-Tooth,22-Tooth
Feed Accelerator Speed (North America) (A)* (F)*,High,High
Feed Accelerator Speed (Europe) (A)* (F)*,High,High
Feed Accelerator Wear Strips (North America),Serrated,Serrated
Feed Accelerator Wear Strips (Europe),Serrated,Serrated
Threshing Speed (North America) (rpm) (A)*,550—850,650—900
Threshing Speed (Europe) (rpm) (A)*,550—850,650—900
Threshing Clearance (North America) (mm),15—35,10—30
Threshing Clearance (Europe) (mm),15—35,10—30
Concave Type (North America) (C)*,Small Wire,Small Wire
Concave Type (Europe) (C)*,Small/Small/Large Wire,Small/Small/Large Wire
Separator Grate Spacers,In Storage Position,In Storage Position
Fan Speed (rpm),570—800,570—770
Front Chaffer Clearance (mm),25,25
Chaffer Clearance (North America) (mm) (H)*,11—19,11—19
Chaffer Clearance (Europe) (mm) (H)*,11—19,11—19
Sieve Clearance (North America) (mm),3—7,3—7
Sieve Clearance (Europe) (mm),3—7,3—7
Tailings System Concave Position,Corn,Grain
Knife Bank Engagement,Allowed,Allowed
Knife Bank Engagement Percentage,0,0
Chopper Speed,High,High

|  Various crop settings shown are for average conditions. Varying crop and field conditions may require slightly different settings.   * Refer to Footnotes Description Page later in this section for more detailed information.  | |
------------,------------
,Shading = #c0c0c0 Chickpeas
Feeder House Drive Sprocket (North America) (A)*,18-Tooth
Feeder House Drive Sprocket (Europe) (A)*,18-Tooth
Feed Accelerator Speed (North America) (A)* (F)*,Low
Feed Accelerator Speed (Europe) (A)* (F)*,Low
Feed Accelerator Wear Strips (North America),Serrated
Feed Accelerator Wear Strips (Europe),Serrated
Threshing Speed (North America) (rpm) (A)*,300—450
Threshing Speed (Europe) (rpm) (A)*,300—450
Threshing Clearance (North America) (mm),12—26
Threshing Clearance (Europe) (mm),12—26
Concave Type (North America) (C)*,Round Bar or Large Wire
Concave Type (Europe) (C)*,Round Bar or Large Wire
Separator Grate Spacers,In Storage Position
Fan Speed (rpm),850—1100
Front Chaffer Clearance (mm),25
Chaffer Clearance (North America) (mm) (H)*,16—21
Chaffer Clearance (Europe) (mm) (H)*,16—21
Sieve Clearance (North America) (mm),7—13
Sieve Clearance (Europe) (mm),7—13
Tailings System Concave Position,Corn
Knife Bank Engagement,Allowed
Knife Bank Engagement Percentage,25
Chopper Speed,High

|  Various crop settings shown are for average conditions. Varying crop and field conditions may require slightly different settings.   * Refer to Footnotes Description Page later in this section for more detailed information.  | | |
------------,------------,------------
,Shading = #c0c0c0 Corn (Dry),Shading = #c0c0c0 Corn (Wet)
Feeder House Drive Sprocket (North America) (A)*,18-Tooth,18-Tooth
Feeder House Drive Sprocket (Europe) (A)*,18-Tooth,18-Tooth
Feed Accelerator Speed (North America) (A)* (F)*,Low (B)*,Low
Feed Accelerator Speed (Europe) (A)* (F)*,Low (B)*,Low
Feed Accelerator Wear Strips (North America),Serrated,Serrated
Feed Accelerator Wear Strips (Europe),Serrated,Serrated
Threshing Speed (North America) (rpm) (A)*,340—480,360—520
Threshing Speed (Europe) (rpm) (A)*,340—480,360—520
